class_vNone_SIO_Delmar_mooring_20220225	class vNone no underscores	second_attempt_match	AphiaID	Match type	LSID	ScientificName	Taxon status	AphiaID_accepted	ScientificName_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
Strombidium_conicum	Strombidium conicum		101289	exact	urn:lsid:marinespecies.org:taxname:101289	Strombidium conicum	accepted	101289	Strombidium conicum	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium		conicum	
Strombidium_inclinatum	Strombidium inclinatum		428332	exact	urn:lsid:marinespecies.org:taxname:428332	Strombidium inclinatum	accepted	428332	Strombidium inclinatum	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium		inclinatum	
Strombidium_morphotype1	Strombidium morphotype1		101195	exact	urn:lsid:marinespecies.org:taxname:101195	Strombidium	accepted	101195	Strombidium	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium			
Strombidium_morphotype2	Strombidium morphotype2		101195	exact	urn:lsid:marinespecies.org:taxname:101195	Strombidium	accepted	101195	Strombidium	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium			
Strombidium_oculatum	Strombidium oculatum		101320	exact	urn:lsid:marinespecies.org:taxname:101320	Strombidium oculatum	unaccepted	101337	Strombidium tintinnodes	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium		oculatum	
Strombidium_wulffi	Strombidium wulffi		101344	exact	urn:lsid:marinespecies.org:taxname:101344	Strombidium wulffi	accepted	101344	Strombidium wulffi	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium		wulffi	
Syracosphaera_pulchra	Syracosphaera pulchra		235979	exact	urn:lsid:marinespecies.org:taxname:235979	Syracosphaera pulchra	accepted	235979	Syracosphaera pulchra	Chromista	Haptophyta	Prymnesiophyceae	Syracosphaerales	Syracosphaeraceae	Syracosphaera		pulchra	
Thalassionema	Thalassionema		149092	exact	urn:lsid:marinespecies.org:taxname:149092	Thalassionema	accepted	149092	Thalassionema	Chromista	Ochrophyta	Bacillariophyceae	Thalassionematales	Thalassionemataceae	Thalassionema			
Thalassiosira	Thalassiosira		148912	exact	urn:lsid:marinespecies.org:taxname:148912	Thalassiosira	accepted	148912	Thalassiosira	Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira			
Thalassiosira_TAG_external_detritus	Thalassiosira TAG external detritus		148912	exact	urn:lsid:marinespecies.org:taxname:148912	Thalassiosira	accepted	148912	Thalassiosira	Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira			
Thalassiosira_sp_aff_mala	Thalassiosira sp aff mala		148912	exact	urn:lsid:marinespecies.org:taxname:148912	Thalassiosira	accepted	148912	Thalassiosira	Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira			
Tiarina_fusus	Tiarina fusus		247943	exact	urn:lsid:marinespecies.org:taxname:247943	Tiarina fusus	accepted	247943	Tiarina fusus	Chromista	Ciliophora	Prostomatea	Prorodontida	Colepidae	Tiarina		fusus	
Tintinnida	Tintinnida		425497	exact	urn:lsid:marinespecies.org:taxname:425497	Tintinnida	unaccepted	732976	Tintinnina	Chromista	Ciliophora	Spirotrichea	Tintinnida					
Tintinnidium_mucicola	Tintinnidium mucicola		247944	exact	urn:lsid:marinespecies.org:taxname:247944	Tintinnidium mucicola	accepted	247944	Tintinnidium mucicola	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Tintinnidiidae	Tintinnidium		mucicola	
Tintinnopsis	Tintinnopsis		163780	exact	urn:lsid:marinespecies.org:taxname:163780	Tintinnopsis	accepted	163780	Tintinnopsis	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Codonellidae	Tintinnopsis			
Tontonia_appendiculariformis	Tontonia appendiculariformis		101345	exact	urn:lsid:marinespecies.org:taxname:101345	Tontonia appendiculariformis	accepted	101345	Tontonia appendiculariformis	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Tontoniidae	Tontonia		appendiculariformis	
Tontonia_gracillima	Tontonia gracillima		101347	exact	urn:lsid:marinespecies.org:taxname:101347	Tontonia gracillima	unaccepted	101268	Paratontonia gracillima	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Tontoniidae	Tontonia		gracillima	
Vicicitus_globosus	Vicicitus globosus		707927	exact	urn:lsid:marinespecies.org:taxname:707927	Vicicitus globosus	accepted	707927	Vicicitus globosus	Chromista	Ochrophyta	Dictyochophyceae	Dictyochales	Dictyochaceae	Vicicitus		globosus	
Warnowia	Warnowia		109491	exact	urn:lsid:marinespecies.org:taxname:109491	Warnowia	accepted	109491	Warnowia	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Warnowiaceae	Warnowia			
amoeba	amoeba	Protozoa	5	exact	urn:lsid:marinespecies.org:taxname:5	Protozoa	accepted	5	Protozoa	Protozoa								
bead	bead		NA	NA	ptwg:bead	bead	NA											
bubble	bubble		NA	NA	ptwg:bubble	bubble	NA											
camera_spot	camera spot		NA	NA	NA	NA	NA											
ciliate	ciliate	Ciliophora	11	exact	urn:lsid:marinespecies.org:taxname:11	Ciliophora	accepted	11	Ciliophora	Chromista	Ciliophora							
coccolithophorid	coccolithophorid	Haptophyta	369190	exact	urn:lsid:marinespecies.org:taxname:369190	Haptophyta	accepted	369190	Haptophyta	Chromista	Haptophyta							
cryptophyta	cryptophyta		17638	exact	urn:lsid:marinespecies.org:taxname:17638	Cryptophyta	accepted	17638	Cryptophyta	Chromista	Cryptophyta							
detritus	detritus		NA	NA	ptwg:detritus	detritus	NA											
detritus_clear	detritus clear		NA	NA	ptwg:detritus	detritus	NA											
fecal_pellet	fecal pellet		NA	NA	ptwg:fecal_pellet	fecal_pellet	NA											
fiber	fiber		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			
fiber_TAG_external_detritus	fiber TAG external detritus		NA	NA	NA	NA	NA											
flagellate	flagellate	Protozoa	5	exact	urn:lsid:marinespecies.org:taxname:5	Protozoa	accepted	5	Protozoa	Protozoa								
flagellate_morphotype1	flagellate morphotype1	Protozoa	5	exact	urn:lsid:marinespecies.org:taxname:5	Protozoa	accepted	5	Protozoa	Protozoa								
flagellate_morphotype3	flagellate morphotype3	Protozoa	5	exact	urn:lsid:marinespecies.org:taxname:5	Protozoa	accepted	5	Protozoa	Protozoa								
mix	mix	Biota	1		urn:lsid:marinespecies.org:taxname:1	Biota	accepted											
pennate	pennate	Bacillariophyceae	148899	exact	urn:lsid:marinespecies.org:taxname:148899	Bacillariophyceae	accepted	148899	Bacillariophyceae	Chromista	Ochrophyta	Bacillariophyceae						
pennate_Pseudo-nitzschia	pennate Pseudo-nitzschia	Pseudo-nitzschia	149151	exact	urn:lsid:marinespecies.org:taxname:149151	Pseudo-nitzschia	accepted	149151	Pseudo-nitzschia	Chromista	Ochrophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia			
pennate_Thalassionema	pennate Thalassionema	Thalassionema	149092	exact	urn:lsid:marinespecies.org:taxname:149092	Thalassionema	accepted	149092	Thalassionema	Chromista	Ochrophyta	Bacillariophyceae	Thalassionematales	Thalassionemataceae	Thalassionema			
pennate_morphotype1	pennate morphotype1	Bacillariophyceae	148899	exact	urn:lsid:marinespecies.org:taxname:148899	Bacillariophyceae	accepted	148899	Bacillariophyceae	Chromista	Ochrophyta	Bacillariophyceae						
pollen	pollen		NA	NA	NA	NA	NA											
shellfish_larvae	shellfish larvae	Animalia	2	exact	urn:lsid:marinespecies.org:taxname:2	Animalia	accepted	2	Animalia	Animalia								
square_unknown	square unknown	Biota	1		urn:lsid:marinespecies.org:taxname:1	Biota	accepted											
unknown2	unknown2	Biota	1		urn:lsid:marinespecies.org:taxname:1	Biota	accepted											
zooplankton	zooplankton	Animalia	2	exact	urn:lsid:marinespecies.org:taxname:2	Animalia	accepted	2	Animalia	Animalia								
